16:37:54.947 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.990 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:55.018 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=11B [0]=0x00
16:37:55.019 INFO [Device.cpp:74                 ] << MANUFACTURER_SPECIFIC_REPORT: node=20 mfgId=0x007A prodType=0x0003 prodId=0x0004
16:37:57.601 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:37:57.602 INFO [Device.cpp:139                ] << SWITCH_BINARY_REPORT: node=12 value=0x00
16:37:58.072 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:00.112 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:00.113 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:00.137 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:00.137 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:01.310 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:03.274 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:03.275 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:03.299 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:03.300 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:05.427 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:07.391 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:07.392 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:07.415 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:07.416 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:07.504 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:09.490 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:09.491 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0x00
16:38:09.515 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:09.516 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0x00
16:38:12.036 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:14.000 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:14.001 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:14.025 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:14.025 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:15.249 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:17.213 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:17.214 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:17.238 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:17.239 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:28.403 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:28.403 INFO [Device.cpp:139                ] << SWITCH_BINARY_REPORT: node=12 value=0xFF
16:38:31.595 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:33.559 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:33.560 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:33.584 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:38:33.585 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:39.019 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:38:40.982 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:38:40.983 INFO [Device.cpp:167                ] << BASIC_SET: node=20 value=0xFF
16:38:41.007 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
